phrasing,question_code
how many courses are taught here,Q003
first class start time,Q011
what time is the first period,Q011
number to call the college,Q021
whom do i call for enquiry,Q021
building of the ise department,Q002
which building is information science in,Q002
where are the ise labs,Q002
ise laboratory location,Q002
computer lab of information science,Q002
what all can i study here,Q003
which subjects can i study,Q003
streams available to study,Q003
teachers working in information science,Q006
who teaches in ise,Q006
ise professors and lecturers,Q006
at what hour does the institution open,Q011
when does the institution open,Q011
opening time of the college,Q011
is this college under visvesvaraya technological university,Q016
visvesvaraya technological university affiliation,Q016
vtu full form affiliation,Q016
what time can i borrow books,Q026
when can i issue books,Q026
book issue timing in library,Q026
van service for students,Q027
college van facility,Q027
vehicle facility for students,Q027
transport service timings,Q027
where is the cse department,Q005
faculty strength of ise,Q006
staff room of ise department,Q002
how do i get to campus by train,Q023
railway station near the college,Q023
gym facility for students,Q028
gymnasium and playground,Q028
gate meeting time of hod,Q007
